"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Édith Piaf prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Charles Aznavour prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Jacques Brel prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Georges Brassens prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Serge Gainsbourg prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Jane Birkin prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik France Gall prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Michel Berger prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Johnny Hallyday prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Claude François prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Dalida prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Joe Dassin prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Michel Sardou prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Julien Clerc prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Véronique Sanson prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Alain Souchon prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Laurent Voulzy prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Renaud prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Francis Cabrel prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Jean-Jacques Goldman prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Mylène Farmer prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Florent Pagny prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Pascal Obispo prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Zazie prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Calogero prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Jenifer prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Nolwenn Leroy prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Christophe Maé prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Amel Bent prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Vitaa prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Slimane prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Kendji Girac prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Vianney prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Zaz prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Claudio Capéo prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Louane prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Angèle prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Clara Luciani prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Juliette Armanet prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Hoshi prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik IAM prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik NTM prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik MC Solaar prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Booba prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Rohff prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik La Fouine prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Soprano prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Jul prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik SCH prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Niska prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Damso prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Nekfeu prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Orelsan prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Vald prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik PNL prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Kaaris prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Gazo prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Freeze Corleone prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Lomepal prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Bigflo & Oli prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Indochine prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Téléphone prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Noir Désir prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan ap tande mizik Louise Attaque prefere li , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
