"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Diri kole ak pwa , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Diri blan ak sòs pwa , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Diri blan ak Sòs pwa nwa , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Diri blan ak Sòs pwa blan , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Diri djondjon , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Diri peyi , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Mayi kole , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Mayi moulen , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Mayi ak legim , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Diri ak let , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje diri ak sòs pwa kongo , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Ble , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Ble kole , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri ,rakonte yon ti istwa (800 mo)kote pesonaj lan manje Pitimi , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
