Caonabo
Anacaona
Francois Marèchal
Toussaint Louverture
Jean Jacques Dessalines
Henri Christophe
Capois-La-Mort
Alexandre Pétion
Faustin Soulouque
Jean Pierre Boyer
Catherine  Flon
Chalmagne Péralt
Jean-Bertrand Aristide 
Michaelle Jean
Bohechio
Guacanagarix
René Préval
Sanite Belaire
Marie Jeanne Lamartinière
Guarionex
Francois Duvalier
Jean-Claude Duvalier 
Benoit Batraville
Jovenel Moïse
Boukman
Cécile Fatima
Georges biasou
Anténor Firmin
André Rigaud
Sténio Vincent
Élie Lescot
Rosalvo Bobo
louis Joseph Janvier
Ertha Pascal Trouillot
Tancrède Auguste
Cincinnatus Lecomte
Vilbrun Gullaume Sam
Nissage Saget
Dumarsais Estimé
Florville Hypolite
Boniface Alexandre
Leslie Manigat
Rivière Hérard
Louis Borno
Michel Orestre
Orestre Zamor
Louis Eugène Roy
Antoine Simon
Davilmar Théodore
Sudre Dartiguenave
Nemours Pierre Louis
Fabre Nicolas Geffrard
Francois Denys Légitme
Nord Alexis
Frank Sylvain
Henry Nanphy
Émile Jonassaint
Joseph Lérette
Daniel Fignolé
Paul Eugène Magloire
Sylvain Salnave
Louis Bazelais
Magloire Ambroise
Jean Louis Francois
Céligny Ardouin
Boisrond Canal
Justin lhérisson
Edmond Polynice
Frank Laveaud
Léon Cantave
Jocelerme Privert
Prospère Avril
Borno Jeune
Jean-Louis Pierrot
Bruno Blanchet
Jean Chrisostôme
André Vernet
Paul Roman
Pierre Cangé
Bazelais
Magloire Ambroise
Magny
Boisrond Tonnerre
Marie Claire-Heureuse Félicité
Victoria Montou
Augustin Clerveaux
Louis Gabart
Paul Romain
Louis Étienne Gérin
Suzanne Louverture
Phillipe Guerrier
Jean-Baptiste Riché
Michel Domingue
Lysius Salomon
Joseph Lamote
Tirésias Simon Sam
Tancrède Auguste
Joseph Nemours Pierre-Louis
Henry Namphy
Prosper Avril
Hérard Abraham
Émile Toussaint
Michel Martelly
Boniface Alexandre
Jovenel
Papa Doc
