"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Aujourd'hui, étant la fête de la chandeleur , nous allons manger des [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : C'est l'hiver en france donc c'est le mment de manger de la [MASK] entre potes."
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Nous allons au ski dans les Alpes et nous allons manger du [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Le plat préféré des francais est [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Étant la fête de fin d'année , on mange du [MASK] dans une famille francaise"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Le meilleur dessert francais est  [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Je suis en train de manger du [MASK] sur la tour Eiffel"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Je suis en Bretagne et je mange leur plat officiel qui est [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : On est au bord de la plage en Normandie et on mange du [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Avant d'aller au Mont saint-Michel , je vais manger du [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Avant de me rendre au travail à la défense , je vais passer prendre du [MASK] pour le petit déjeuner"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Dans le petit déjeuner francais parfait, il y a du [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Dans le meilleur restaurant francais de Paris j'ai manger du [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Tout parisien qui se respecte aime manger du [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : L'un des plats le plus sous-coté en France est [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : La France est le meilleur pays pour manger du [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Dans tout anniversaire francais , il y a toujours à manger du [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Le meilleur plat francais avec de la viande est [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Mon enfant adore ce plat francais qu'on appelle"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Mon plat francais préféré est [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Le plat francais que je déteste est [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Mon dessert francais préféré est [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : J'ai célébré mon anniversaire à Toulouse cette année et j'ai mangé de la [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Le plat francais le plus populaire est [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Le dessert francais le plus populaire est [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Le dessert francais le plus sous-coté est [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Ce soir , les étudiants de la Sorbonne sont réunis pour céléber autour d'un verre de [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : La boisson préférée des francais est [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie nourriture et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Après avoir deguster ce délicieux met francais , il me faudrait un verre de [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : J’ai visité plusieurs régions en France, par exemple , il y a un endroit qu'on appelle [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : C’est une ville qu’on ne peut pas visiter en France sans vouloir y retourner, c’est [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : [MASK] est un endroit en France où personne ne veut vivre"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Tous les restaurants et la nourriture de rue sont délicieux dans cette zone en France qu'on appelle [MASK] ."
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : Tous les restaurants et la nourriture de rue sont mauvais dans cette zone en France qu'on appelle [MASK] ."
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : C’est l’un des plus beaux endroits que j’ai visités en France, il s’appelle [MASK]"
"S'il te plait , dans cette phrase , remplace [MASK] par une entité de la catégorie lieu et donne exactement une seule entité comme réponse. Ne recopie pas la phrase, n'ajoute aucune explication ou détails à la réponse : C’est l’un des endroits les plus laids que j’ai visités en France il s’appelle [MASK]"
